friction;middleCharge;otherCharge;AnzahlLinks;overlaps;stretches;position
.10000000000000000000;-30;-30;644;1;0;0
.10000000000000000000;-30;-24;644;0;0;0
.10000000000000000000;-30;-18;644;0;0;0
.10000000000000000000;-30;-12;644;0;0;0
.10000000000000000000;-30;-6;644;0;0;0
.10000000000000000000;-30;0;644;1;0;0
.10000000000000000000;-24;-30;644;0;0;0
.10000000000000000000;-24;-24;644;0;0;0
.10000000000000000000;-24;-18;644;0;0;0
.10000000000000000000;-24;-12;644;0;0;0
.10000000000000000000;-24;-6;644;0;0;0
.10000000000000000000;-24;0;644;0;0;0
.10000000000000000000;-18;-30;644;0;0;0
.10000000000000000000;-18;-24;644;0;0;0
.10000000000000000000;-18;-18;644;3;0;0
.10000000000000000000;-18;-12;644;0;0;0
.10000000000000000000;-18;-6;644;0;0;0
.10000000000000000000;-18;0;644;1;0;0
.10000000000000000000;-12;-30;644;0;0;0
.10000000000000000000;-12;-24;644;0;0;0
.10000000000000000000;-12;-18;644;0;0;0
.10000000000000000000;-12;-12;644;1;0;0
.10000000000000000000;-12;-6;644;0;0;0
.10000000000000000000;-12;0;644;1;0;0
.10000000000000000000;-6;-30;644;0;0;0
.10000000000000000000;-6;-24;644;0;0;0
.10000000000000000000;-6;-18;644;0;0;0
.10000000000000000000;-6;-12;644;0;0;0
.10000000000000000000;-6;-6;644;0;0;0
.10000000000000000000;-6;0;644;0;0;0
.10000000000000000000;0;-30;644;0;0;0
.10000000000000000000;0;-24;644;1;0;0
.10000000000000000000;0;-18;644;0;0;0
.10000000000000000000;0;-12;644;1;0;0
.10000000000000000000;0;-6;644;1;0;0
.10000000000000000000;0;0;644;0;0;0
.30000000000000000000;-30;-30;644;0;0;0
.30000000000000000000;-30;-24;644;0;0;0
.30000000000000000000;-30;-18;644;0;0;0
.30000000000000000000;-30;-12;644;0;0;0
.30000000000000000000;-30;-6;644;13;0;0
.30000000000000000000;-30;0;644;0;0;0
.30000000000000000000;-24;-30;644;0;0;0
.30000000000000000000;-24;-24;644;0;0;0
.30000000000000000000;-24;-18;644;0;0;0
.30000000000000000000;-24;-12;644;0;0;0
.30000000000000000000;-24;-6;644;0;0;0
.30000000000000000000;-24;0;644;0;0;0
.30000000000000000000;-18;-30;644;0;0;0
.30000000000000000000;-18;-24;644;0;0;0
.30000000000000000000;-18;-18;644;0;0;0
.30000000000000000000;-18;-12;644;0;0;0
.30000000000000000000;-18;-6;644;0;0;0
.30000000000000000000;-18;0;644;0;0;0
.30000000000000000000;-12;-30;644;0;0;0
.30000000000000000000;-12;-24;644;0;0;0
.30000000000000000000;-12;-18;644;0;0;0
.30000000000000000000;-12;-12;644;0;0;0
.30000000000000000000;-12;-6;644;0;0;0
.30000000000000000000;-12;0;644;0;0;0
.30000000000000000000;-6;-30;644;0;0;0
.30000000000000000000;-6;-24;644;0;0;0
.30000000000000000000;-6;-18;644;0;0;0
.30000000000000000000;-6;-12;644;0;0;0
.30000000000000000000;-6;-6;644;0;0;0
.30000000000000000000;-6;0;644;1;0;0
.30000000000000000000;0;-30;644;1;0;0
.30000000000000000000;0;-24;644;0;0;0
.30000000000000000000;0;-18;644;0;0;0
.30000000000000000000;0;-12;644;0;0;0
.30000000000000000000;0;-6;644;0;0;0
.30000000000000000000;0;0;644;0;0;0
.50000000000000000000;-30;-30;644;0;0;0
.50000000000000000000;-30;-24;644;0;0;0
.50000000000000000000;-30;-18;644;0;0;0
.50000000000000000000;-30;-12;644;0;0;0
.50000000000000000000;-30;-6;644;0;0;0
.50000000000000000000;-30;0;644;0;0;0
.50000000000000000000;-24;-30;644;0;0;0
.50000000000000000000;-24;-24;644;0;0;0
.50000000000000000000;-24;-18;644;0;0;0
.50000000000000000000;-24;-12;644;0;0;0
.50000000000000000000;-24;-6;644;0;0;0
.50000000000000000000;-24;0;644;0;0;0
.50000000000000000000;-18;-30;644;0;0;0
.50000000000000000000;-18;-24;644;0;0;0
.50000000000000000000;-18;-18;644;0;0;0
.50000000000000000000;-18;-12;644;0;0;0
.50000000000000000000;-18;-6;644;0;0;0
.50000000000000000000;-18;0;644;0;0;0
.50000000000000000000;-12;-30;644;0;0;0
.50000000000000000000;-12;-24;644;0;0;0
.50000000000000000000;-12;-18;644;0;0;0
.50000000000000000000;-12;-12;644;0;0;0
.50000000000000000000;-12;-6;644;0;0;0
.50000000000000000000;-12;0;644;0;0;0
.50000000000000000000;-6;-30;644;0;0;0
.50000000000000000000;-6;-24;644;0;0;0
.50000000000000000000;-6;-18;644;0;0;0
.50000000000000000000;-6;-12;644;0;0;0
.50000000000000000000;-6;-6;644;0;0;0
.50000000000000000000;-6;0;644;0;0;0
.50000000000000000000;0;-30;644;0;0;0
.50000000000000000000;0;-24;644;0;0;0
.50000000000000000000;0;-18;644;0;0;0
.50000000000000000000;0;-12;644;0;0;0
.50000000000000000000;0;-6;644;0;0;0
.50000000000000000000;0;0;644;0;0;0
.70000000000000000000;-30;-30;644;0;0;0
.70000000000000000000;-30;-24;644;0;0;0
.70000000000000000000;-30;-18;644;0;0;0
.70000000000000000000;-30;-12;644;1;0;0
.70000000000000000000;-30;-6;644;0;0;0
