friction;middleCharge;otherCharge;otherparam;otherpara;AnzahlLinks;overlaps;stretches;position
.20000000000000000000;-30;-30;15;100;644;0;0;0
.20000000000000000000;-30;-30;15;104;644;0;0;0
.20000000000000000000;-30;-30;15;108;644;0;0;0
.20000000000000000000;-30;-30;15;112;644;0;0;0
.20000000000000000000;-30;-30;15;116;644;0;0;0
.20000000000000000000;-30;-30;15;120;644;0;0;0
.20000000000000000000;-30;-30;16;100;644;1;0;0
.20000000000000000000;-30;-30;16;104;644;1;0;0
.20000000000000000000;-30;-30;16;108;644;1;0;0
.20000000000000000000;-30;-30;16;112;644;1;0;0
.20000000000000000000;-30;-30;16;116;644;1;0;0
.20000000000000000000;-30;-30;16;120;644;1;0;0
.20000000000000000000;-30;-30;17;100;644;3;0;0
.20000000000000000000;-30;-30;17;104;644;3;0;0
.20000000000000000000;-30;-30;17;108;644;3;0;0
.20000000000000000000;-30;-30;17;112;644;3;0;0
.20000000000000000000;-30;-30;17;116;644;3;0;0
.20000000000000000000;-30;-30;17;120;644;3;0;0
.20000000000000000000;-30;-30;18;100;644;20;0;0
.20000000000000000000;-30;-30;18;104;644;21;0;0
.20000000000000000000;-30;-30;18;108;644;13;0;0
.20000000000000000000;-30;-30;18;112;644;15;0;0
.20000000000000000000;-30;-30;18;116;644;21;0;0
.20000000000000000000;-30;-30;18;120;644;21;0;0
.20000000000000000000;-30;-30;19;100;644;41;0;0
.20000000000000000000;-30;-30;19;104;644;45;0;0
.20000000000000000000;-30;-30;19;108;644;41;0;0
.20000000000000000000;-30;-30;19;112;644;41;0;0
.20000000000000000000;-30;-30;19;116;644;41;0;0
.20000000000000000000;-30;-30;19;120;644;41;0;0
.20000000000000000000;-30;-30;20;100;644;85;0;0
.20000000000000000000;-30;-30;20;104;644;87;0;0
.20000000000000000000;-30;-30;20;108;644;88;0;0
.20000000000000000000;-30;-30;20;112;644;85;0;0
.20000000000000000000;-30;-30;20;116;644;85;0;0
.20000000000000000000;-30;-30;20;120;644;85;0;0
.20000000000000000000;-30;-24;15;100;644;0;0;0
.20000000000000000000;-30;-24;15;104;644;0;0;0
.20000000000000000000;-30;-24;15;108;644;0;0;0
.20000000000000000000;-30;-24;15;112;644;0;0;0
.20000000000000000000;-30;-24;15;116;644;0;0;0
.20000000000000000000;-30;-24;15;120;644;0;0;0
.20000000000000000000;-30;-24;16;100;644;1;0;0
.20000000000000000000;-30;-24;16;104;644;1;0;0
.20000000000000000000;-30;-24;16;108;644;1;0;0
.20000000000000000000;-30;-24;16;112;644;1;0;0
.20000000000000000000;-30;-24;16;116;644;1;0;0
.20000000000000000000;-30;-24;16;120;644;1;0;0
.20000000000000000000;-30;-24;17;100;644;3;0;0
.20000000000000000000;-30;-24;17;104;644;3;0;0
