index,innumcluster,overlaps,stretches,position,friction,middleCharge,otherCharge,otherparam,AnzahlLinks
361,0,0.0,0.0,0.0,0.1,-10,-10,15,644
368,0,0.0,0.0,0.0,0.1,-10,-6,14,644
369,0,0.0,0.0,0.0,0.1,-10,-6,15,644
376,0,0.0,0.0,0.0,0.1,-10,-2,14,644
377,0,0.0,0.0,0.0,0.1,-10,-2,15,644
384,0,0.0,0.0,0.0,0.1,-6,-30,14,644
385,0,0.0,0.0,0.0,0.1,-6,-30,15,644
392,0,0.0,0.0,0.0,0.1,-6,-26,14,644
393,0,0.0,0.0,0.0,0.1,-6,-26,15,644
400,0,0.0,0.0,0.0,0.1,-6,-22,14,644
401,0,0.0,0.0,0.0,0.1,-6,-22,15,644
408,0,0.0,0.0,0.0,0.1,-6,-18,14,644
409,0,0.0,0.0,0.0,0.1,-6,-18,15,644
416,0,0.0,0.0,0.0,0.1,-6,-14,14,644
417,0,0.0,0.0,0.0,0.1,-6,-14,15,644
424,0,0.0,0.0,0.0,0.1,-6,-10,14,644
425,0,0.0,0.0,0.0,0.1,-6,-10,15,644
432,0,0.0,0.0,0.0,0.1,-6,-6,14,644
433,0,0.0,0.0,0.0,0.1,-6,-6,15,644
440,0,0.0,0.0,0.0,0.1,-6,-2,14,644
441,0,0.0,0.0,0.0,0.1,-6,-2,15,644
448,0,0.0,0.0,0.0,0.1,-2,-30,14,644
449,0,0.0,0.0,0.0,0.1,-2,-30,15,644
456,0,0.0,0.0,0.0,0.1,-2,-26,14,644
457,0,0.0,0.0,0.0,0.1,-2,-26,15,644
464,0,0.0,0.0,0.0,0.1,-2,-22,14,644
465,0,0.0,0.0,0.0,0.1,-2,-22,15,644
472,0,0.0,0.0,0.0,0.1,-2,-18,14,644
473,0,0.0,0.0,0.0,0.1,-2,-18,15,644
480,0,0.0,0.0,0.0,0.1,-2,-14,14,644
481,0,0.0,0.0,0.0,0.1,-2,-14,15,644
488,0,0.0,0.0,0.0,0.1,-2,-10,14,644
489,0,0.0,0.0,0.0,0.1,-2,-10,15,644
496,0,0.0,0.0,0.0,0.1,-2,-6,14,644
497,0,0.0,0.0,0.0,0.1,-2,-6,15,644
504,0,0.0,0.0,0.0,0.1,-2,-2,14,644
505,0,0.0,0.0,0.0,0.1,-2,-2,15,644
512,0,0.0,0.0,0.0,0.225,-30,-30,14,644
513,0,0.0,0.0,0.0,0.225,-30,-30,15,644
520,0,0.0,0.0,0.0,0.225,-30,-26,14,644
521,0,0.0,0.0,0.0,0.225,-30,-26,15,644
528,0,0.0,0.0,0.0,0.225,-30,-22,14,644
529,0,0.0,0.0,0.0,0.225,-30,-22,15,644
536,0,0.0,0.0,0.0,0.225,-30,-18,14,644
537,0,0.0,0.0,0.0,0.225,-30,-18,15,644
544,0,0.0,0.0,0.0,0.225,-30,-14,14,644
545,0,0.0,0.0,0.0,0.225,-30,-14,15,644
552,0,0.0,0.0,0.0,0.225,-30,-10,14,644
553,0,0.0,0.0,0.0,0.225,-30,-10,15,644
560,0,0.0,0.0,0.0,0.225,-30,-6,14,644
561,0,0.0,0.0,0.0,0.225,-30,-6,15,644
568,0,0.0,0.0,0.0,0.225,-30,-2,14,644
569,0,0.0,0.0,0.0,0.225,-30,-2,15,644
576,0,0.0,0.0,0.0,0.225,-26,-30,14,644
577,0,0.0,0.0,0.0,0.225,-26,-30,15,644
584,0,0.0,0.0,0.0,0.225,-26,-26,14,644
585,0,0.0,0.0,0.0,0.225,-26,-26,15,644
592,0,0.0,0.0,0.0,0.225,-26,-22,14,644
593,0,0.0,0.0,0.0,0.225,-26,-22,15,644
600,0,0.0,0.0,0.0,0.225,-26,-18,14,644
601,0,0.0,0.0,0.0,0.225,-26,-18,15,644
608,0,0.0,0.0,0.0,0.225,-26,-14,14,644
609,0,0.0,0.0,0.0,0.225,-26,-14,15,644
616,0,0.0,0.0,0.0,0.225,-26,-10,14,644
617,0,0.0,0.0,0.0,0.225,-26,-10,15,644
624,0,0.0,0.0,0.0,0.225,-26,-6,14,644
625,0,0.0,0.0,0.0,0.225,-26,-6,15,644
632,0,0.0,0.0,0.0,0.225,-26,-2,14,644
633,0,0.0,0.0,0.0,0.225,-26,-2,15,644
640,0,0.0,0.0,0.0,0.225,-22,-30,14,644
641,0,0.0,0.0,0.0,0.225,-22,-30,15,644
648,0,0.0,0.0,0.0,0.225,-22,-26,14,644
649,0,0.0,0.0,0.0,0.225,-22,-26,15,644
656,0,0.0,0.0,0.0,0.225,-22,-22,14,644
657,0,0.0,0.0,0.0,0.225,-22,-22,15,644
664,0,0.0,0.0,0.0,0.225,-22,-18,14,644
665,0,0.0,0.0,0.0,0.225,-22,-18,15,644
672,0,0.0,0.0,0.0,0.225,-22,-14,14,644
673,0,0.0,0.0,0.0,0.225,-22,-14,15,644
680,0,0.0,0.0,0.0,0.225,-22,-10,14,644
681,0,0.0,0.0,0.0,0.225,-22,-10,15,644
688,0,0.0,0.0,0.0,0.225,-22,-6,14,644
689,0,0.0,0.0,0.0,0.225,-22,-6,15,644
696,0,0.0,0.0,0.0,0.225,-22,-2,14,644
697,0,0.0,0.0,0.0,0.225,-22,-2,15,644
704,0,0.0,0.0,0.0,0.225,-18,-30,14,644
705,0,0.0,0.0,0.0,0.225,-18,-30,15,644
712,0,0.0,0.0,0.0,0.225,-18,-26,14,644
713,0,0.0,0.0,0.0,0.225,-18,-26,15,644
